date,coin_id,coinmetrics_symbol,market_cap_current_usd,market_cap_estimated_usd,circulating_supply,market_cap_type,market_cap_source,selected_column
2024-03-01,binancecoin,bnb,,62748251833.95033,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-02,binancecoin,bnb,,63196631470.961044,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-03,binancecoin,bnb,,63752067008.50957,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-04,binancecoin,bnb,,64483966746.695206,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-05,binancecoin,bnb,,60823240748.76101,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-06,binancecoin,bnb,,65975476457.60015,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-07,binancecoin,bnb,,72987646916.8054,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-08,binancecoin,bnb,,74600940554.85966,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-09,binancecoin,bnb,,75358944111.73767,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-10,binancecoin,bnb,,81112801176.68114,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-11,binancecoin,bnb,,80433189185.55667,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-12,binancecoin,bnb,,82806675720.5139,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-13,binancecoin,bnb,,96210569725.98314,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-14,binancecoin,bnb,,92965395746.22862,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-15,binancecoin,bnb,,95645666612.90932,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-16,binancecoin,bnb,,88612055368.4711,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-17,binancecoin,bnb,,87580048057.73499,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
