date,coin_id,coinmetrics_symbol,market_cap_current_usd,market_cap_estimated_usd,circulating_supply,market_cap_type,market_cap_source,selected_column
2024-03-01,bitcoin,btc,1228106988685.405,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-02,bitcoin,btc,1218830448923.2932,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-03,bitcoin,btc,1237391640177.7898,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-04,bitcoin,btc,1337637736660.5847,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-05,bitcoin,btc,1256349969665.857,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-06,bitcoin,btc,1298708781023.34,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-07,bitcoin,btc,1317775703379.3416,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-08,bitcoin,btc,1342859547465.889,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-09,bitcoin,btc,1346049345988.8496,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-10,bitcoin,btc,1353572780460.2922,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-11,bitcoin,btc,1418807431184.4077,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-12,bitcoin,btc,1403829853146.6147,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-13,bitcoin,btc,1436306869781.038,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-14,bitcoin,btc,1405390053436.6956,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-15,bitcoin,btc,1364557049381.3796,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-16,bitcoin,btc,1286167673667.403,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-17,bitcoin,btc,1342277385497.008,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-18,bitcoin,btc,1332230717578.118,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-19,bitcoin,btc,1218244887373.998,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-20,bitcoin,btc,1333878479086.9724,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-21,bitcoin,btc,1286874418578.5916,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-22,bitcoin,btc,1248231144166.5354,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-23,bitcoin,btc,1265492833453.943,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-24,bitcoin,btc,1323142018390.2087,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-25,bitcoin,btc,1377322433812.7395,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-26,bitcoin,btc,1377951907816.7256,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-27,bitcoin,btc,1362216604596.2065,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-28,bitcoin,btc,1392943231125.4192,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-29,bitcoin,btc,1375112180619.6648,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-30,bitcoin,btc,1370183441931.534,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
