date,coin_id,coinmetrics_symbol,market_cap_current_usd,market_cap_estimated_usd,circulating_supply,market_cap_type,market_cap_source,selected_column
2024-03-01,cardano,ada,24767764635.798756,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-02,cardano,ada,25766402535.137463,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-03,cardano,ada,25336562210.18684,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-04,cardano,ada,26880175040.82676,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-05,cardano,ada,24078748672.162567,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-06,cardano,ada,25562446235.800343,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-07,cardano,ada,25963924436.30813,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-08,cardano,ada,25234896148.63524,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-09,cardano,ada,25916419343.915447,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-10,cardano,ada,24865968959.73985,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-11,cardano,ada,27090875349.096066,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-12,cardano,ada,26053503456.57616,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-13,cardano,ada,26603328167.077126,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-14,cardano,ada,26196498569.3114,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-15,cardano,ada,25337510821.62185,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-16,cardano,ada,22991964960.942432,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-17,cardano,ada,23672366199.79296,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-18,cardano,ada,23115869183.012356,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
