date,coin_id,coinmetrics_symbol,market_cap_current_usd,market_cap_estimated_usd,circulating_supply,market_cap_type,market_cap_source,selected_column
2024-03-01,ethereum,eth,413070896780.6687,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-02,ethereum,eth,410917409695.5157,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-03,ethereum,eth,418373036856.6305,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-04,ethereum,eth,436161092897.6109,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-05,ethereum,eth,426791266257.23566,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-06,ethereum,eth,458939871618.8594,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-07,ethereum,eth,464677599356.7701,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-08,ethereum,eth,467872395755.07965,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-09,ethereum,eth,470114946488.1761,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-10,ethereum,eth,465068887749.35565,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-11,ethereum,eth,489142422840.4447,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-12,ethereum,eth,476900334294.7112,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-13,ethereum,eth,480908185956.49365,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-14,ethereum,eth,466280907046.3074,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-15,ethereum,eth,448743632254.6925,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-16,ethereum,eth,422628470884.0994,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-17,ethereum,eth,436914677347.14233,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-18,ethereum,eth,423880484898.4879,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-19,ethereum,eth,380151343242.56384,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-20,ethereum,eth,422563427536.4576,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-21,ethereum,eth,419014699224.6883,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-22,ethereum,eth,398278418620.5121,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-23,ethereum,eth,402826224098.83325,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-24,ethereum,eth,414906995990.66846,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-25,ethereum,eth,431793897935.0968,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-26,ethereum,eth,431468093653.6476,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-27,ethereum,eth,420064182413.07715,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-28,ethereum,eth,428203988053.25446,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-29,ethereum,eth,422216663301.2888,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-30,ethereum,eth,421001603763.6652,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-31,ethereum,eth,437637607654.5576,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-01,ethereum,eth,421518400640.9793,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-02,ethereum,eth,394198014695.4116,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-03,ethereum,eth,398308647929.8092,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-04,ethereum,eth,399572072652.4788,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-05,ethereum,eth,399078541470.1697,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-06,ethereum,eth,404429950925.5345,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-07,ethereum,eth,413954386217.284,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-08,ethereum,eth,444293084869.32416,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-09,ethereum,eth,420164384263.2175,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-10,ethereum,eth,425217575814.1802,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-11,ethereum,eth,420750811051.75946,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-12,ethereum,eth,388428557773.26245,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-13,ethereum,eth,363861021415.1023,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-14,ethereum,eth,379290245495.98035,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-15,ethereum,eth,372597525247.19354,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-16,ethereum,eth,370845872685.86017,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-17,ethereum,eth,358407794282.978,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-18,ethereum,eth,368371393128.8903,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-19,ethereum,eth,366954029574.24335,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-20,ethereum,eth,378914210958.9692,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-21,ethereum,eth,377974604229.94794,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-22,ethereum,eth,384960384027.46893,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-23,ethereum,eth,386402185570.29224,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-24,ethereum,eth,376228123879.4441,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-25,ethereum,eth,379269960296.0585,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-26,ethereum,eth,375855424827.6707,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-27,ethereum,eth,390659207165.8136,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-28,ethereum,eth,391842597626.8832,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-29,ethereum,eth,386753524919.1743,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-30,ethereum,eth,361775569243.8784,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-01,ethereum,eth,356726195602.6768,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-02,ethereum,eth,358917057221.0322,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-03,ethereum,eth,373196143883.5149,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-04,ethereum,eth,374336891693.3599,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-05,ethereum,eth,376981046697.4079,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-06,ethereum,eth,368423882518.27655,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-07,ethereum,eth,362079795679.0039,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-08,ethereum,eth,356770689460.95996,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-09,ethereum,eth,364472369946.59753,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-10,ethereum,eth,349629483363.76556,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-11,ethereum,eth,349690007700.89264,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-12,ethereum,eth,352003901545.8455,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-13,ethereum,eth,354167408644.9484,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-14,ethereum,eth,346070984481.23694,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-15,ethereum,eth,363830966552.9596,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-16,ethereum,eth,353324561848.84485,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-17,ethereum,eth,371486331178.9644,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-18,ethereum,eth,375108822274.84827,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-19,ethereum,eth,368816741820.6226,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-20,ethereum,eth,439907646002.6881,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-21,ethereum,eth,456126094381.7448,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-22,ethereum,eth,449413617718.1221,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-23,ethereum,eth,452538666485.0124,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-24,ethereum,eth,447869134955.31824,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-25,ethereum,eth,450284938731.4552,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-26,ethereum,eth,459478056408.91113,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-27,ethereum,eth,467072767784.0712,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-28,ethereum,eth,461937527003.6465,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-29,ethereum,eth,452931893656.4989,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-30,ethereum,eth,450249699917.0199,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-05-31,ethereum,eth,451203485747.2596,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-01,ethereum,eth,458164117547.7568,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-02,ethereum,eth,454319407953.3998,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-03,ethereum,eth,452663028946.5335,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-04,ethereum,eth,458039955478.5173,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-05,ethereum,eth,464187491775.9396,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-06,ethereum,eth,458004828021.4691,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-07,ethereum,eth,442155533054.29376,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-08,ethereum,eth,442174089685.6215,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-09,ethereum,eth,445259002298.5613,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-10,ethereum,eth,440522177604.3931,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-11,ethereum,eth,420283177735.6964,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-12,ethereum,eth,427867901336.1545,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-13,ethereum,eth,416969718407.8417,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-14,ethereum,eth,418156652882.03424,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-15,ethereum,eth,428721299337.08954,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-16,ethereum,eth,434969448760.20264,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-17,ethereum,eth,421737502289.85925,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-18,ethereum,eth,417913151349.3612,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-19,ethereum,eth,427521731914.37714,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-20,ethereum,eth,422130592195.4088,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-21,ethereum,eth,422814275905.84454,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-22,ethereum,eth,420166839186.0901,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-23,ethereum,eth,411012084269.7799,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-24,ethereum,eth,402331050309.6946,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-25,ethereum,eth,407749479274.09955,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-26,ethereum,eth,404902380073.452,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-27,ethereum,eth,413903975260.2951,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-28,ethereum,eth,405371148774.94336,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-29,ethereum,eth,405471140680.0986,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-06-30,ethereum,eth,413216154556.00806,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-01,ethereum,eth,413192586128.4048,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-02,ethereum,eth,410837991835.3708,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-03,ethereum,eth,395999802973.48645,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-04,ethereum,eth,370287628113.0997,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-05,ethereum,eth,358938533149.40094,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-06,ethereum,eth,368764270834.07086,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-07,ethereum,eth,352537910982.17975,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-08,ethereum,eth,363073291737.08496,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-09,ethereum,eth,368334006224.79834,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-10,ethereum,eth,372784136927.5169,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-11,ethereum,eth,372271460544.9565,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-12,ethereum,eth,376310638133.1629,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-13,ethereum,eth,382506762321.85455,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-14,ethereum,eth,391507735299.6585,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-15,ethereum,eth,419321807455.40344,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-16,ethereum,eth,414366986650.648,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-17,ethereum,eth,408045422254.2497,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-18,ethereum,eth,412501147202.1565,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-19,ethereum,eth,421689382751.8767,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-20,ethereum,eth,423268912049.97534,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-21,ethereum,eth,424467907087.11774,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-22,ethereum,eth,413829175436.46155,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-23,ethereum,eth,418740518223.13,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-24,ethereum,eth,400591335012.1584,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-25,ethereum,eth,381600624988.4637,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-26,ethereum,eth,394258867942.0465,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-27,ethereum,eth,391301038823.5371,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-28,ethereum,eth,393282639767.9759,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-29,ethereum,eth,399598754284.12085,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-30,ethereum,eth,393957363297.6566,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-07-31,ethereum,eth,388620837000.78546,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-01,ethereum,eth,385201842134.8623,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-02,ethereum,eth,358959439474.1413,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-03,ethereum,eth,349318922552.1244,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-04,ethereum,eth,324513685553.4667,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-05,ethereum,eth,292736211216.7566,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-06,ethereum,eth,295671092390.3347,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-07,ethereum,eth,282167773982.83136,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-08,ethereum,eth,323107370461.5184,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-09,ethereum,eth,311841508207.4857,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-10,ethereum,eth,313522194925.6644,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-11,ethereum,eth,307770132274.1938,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-12,ethereum,eth,328203972885.00903,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-13,ethereum,eth,325041062370.70465,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-14,ethereum,eth,320750225027.4541,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-15,ethereum,eth,309567186768.5115,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-16,ethereum,eth,312068346098.84955,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-17,ethereum,eth,314202244706.5862,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-18,ethereum,eth,315725181970.07935,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-08-19,ethereum,eth,316593478589.2941,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
