date,coin_id,coinmetrics_symbol,market_cap_current_usd,market_cap_estimated_usd,circulating_supply,market_cap_type,market_cap_source,selected_column
2024-12-13,hyperliquid,hype,,6478283862.991234,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-14,hyperliquid,hype,,8128300878.17853,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-15,hyperliquid,hype,,8062146446.649648,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-16,hyperliquid,hype,,9209378584.641663,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-17,hyperliquid,hype,,8501368411.201921,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-18,hyperliquid,hype,,7784833531.80579,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-19,hyperliquid,hype,,8338026720.158909,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-20,hyperliquid,hype,,10029158160.772926,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-21,hyperliquid,hype,,10847348640.971228,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-22,hyperliquid,hype,,9675808297.768223,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-23,hyperliquid,hype,,9499557474.62498,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-24,hyperliquid,hype,,9962426029.711708,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-25,hyperliquid,hype,,8929556642.039682,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-26,hyperliquid,hype,,8963558425.243034,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-27,hyperliquid,hype,,8971111886.478973,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-28,hyperliquid,hype,,9667616708.272097,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-29,hyperliquid,hype,,9173075396.365328,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-30,hyperliquid,hype,,8993833784.885817,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-12-31,hyperliquid,hype,,7871765937.89221,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
