coin_id,coinmetrics_symbol,status,rows,selected_column,has_market_cap_current,has_market_cap_estimated,has_supply,market_cap_type,market_cap_source,cap_cur_non_null,cap_est_non_null,supply_non_null,available_columns,output_file
binancecoin,bnb,HAS_MARKET_CAP_ESTIMATED,306,CapMrktEstUSD,False,True,False,estimated,coinmetrics_CapMrktEstUSD,0,306,0,"time, AdrActCnt, AdrBalCnt, AssetCompletionTime, AssetEODCompletionTime, CapMVRVCur, CapMrktCurUSD, CapMrktEstUSD, IssTotNtv, IssTotUSD, PriceBTC, PriceUSD, ROI1yr, ROI30d, ReferenceRate, ReferenceRateBTC, ReferenceRateETH, ReferenceRateEUR, ReferenceRateUSD, SplyCur, TxCnt, TxTfrCnt, volume_reported_spot_usd_1d, date",data/external/marketcap_coinmetrics\binancecoin_marketcap.csv
bitcoin,btc,HAS_MARKET_CAP_CURRENT,306,CapMrktCurUSD,True,False,False,current,coinmetrics_CapMrktCurUSD,306,306,306,"time, AdrActCnt, AdrBalCnt, AssetCompletionTime, AssetEODCompletionTime, BlkCnt, CapMVRVCur, CapMrktCurUSD, CapMrktEstUSD, FeeTotNtv, FlowInExNtv, FlowInExUSD, FlowOutExNtv, FlowOutExUSD, HashRate, IssTotNtv, IssTotUSD, PriceBTC, PriceUSD, ROI1yr, ROI30d, ReferenceRate, ReferenceRateETH, ReferenceRateEUR, ReferenceRateUSD, SplyCur, SplyExNtv, SplyExUSD, SplyExpFut10yr, TxCnt, TxTfrCnt, volume_reported_spot_usd_1d, date",data/external/marketcap_coinmetrics\bitcoin_marketcap.csv
cardano,ada,HAS_MARKET_CAP_CURRENT,306,CapMrktCurUSD,True,False,False,current,coinmetrics_CapMrktCurUSD,306,306,306,"time, AdrActCnt, AdrBalCnt, AssetCompletionTime, AssetEODCompletionTime, BlkCnt, CapMVRVCur, CapMrktCurUSD, CapMrktEstUSD, FeeTotNtv, IssTotNtv, IssTotUSD, PriceBTC, PriceUSD, ROI1yr, ROI30d, ReferenceRate, ReferenceRateBTC, ReferenceRateETH, ReferenceRateEUR, ReferenceRateUSD, SplyCur, TxCnt, TxTfrCnt, volume_reported_spot_usd_1d, date",data/external/marketcap_coinmetrics\cardano_marketcap.csv
dogecoin,doge,HAS_MARKET_CAP_CURRENT,306,CapMrktCurUSD,True,False,False,current,coinmetrics_CapMrktCurUSD,306,306,306,"time, AdrActCnt, AdrBalCnt, AssetCompletionTime, AssetEODCompletionTime, BlkCnt, CapMVRVCur, CapMrktCurUSD, CapMrktEstUSD, FeeTotNtv, HashRate, IssTotNtv, IssTotUSD, PriceBTC, PriceUSD, ROI1yr, ROI30d, ReferenceRate, ReferenceRateBTC, ReferenceRateETH, ReferenceRateEUR, ReferenceRateUSD, SplyCur, SplyExpFut10yr, TxCnt, TxTfrCnt, volume_reported_spot_usd_1d, date",data/external/marketcap_coinmetrics\dogecoin_marketcap.csv
ethereum,eth,HAS_MARKET_CAP_CURRENT,306,CapMrktCurUSD,True,False,False,current,coinmetrics_CapMrktCurUSD,306,306,306,"time, AdrActCnt, AdrBalCnt, AssetCompletionTime, AssetEODCompletionTime, BlkCnt, CapMVRVCur, CapMrktCurUSD, CapMrktEstUSD, FeeTotNtv, FlowInExNtv, FlowInExUSD, FlowOutExNtv, FlowOutExUSD, HashRate, IssTotNtv, IssTotUSD, PriceBTC, PriceUSD, ROI1yr, ROI30d, ReferenceRate, ReferenceRateBTC, ReferenceRateEUR, ReferenceRateUSD, SplyCur, SplyExNtv, SplyExUSD, SplyExpFut10yr, TxCnt, TxTfrCnt, volume_reported_spot_usd_1d, date",data/external/marketcap_coinmetrics\ethereum_marketcap.csv
litecoin,ltc,HAS_MARKET_CAP_CURRENT,306,CapMrktCurUSD,True,False,False,current,coinmetrics_CapMrktCurUSD,306,306,306,"time, AdrActCnt, AdrBalCnt, AssetCompletionTime, AssetEODCompletionTime, BlkCnt, CapMVRVCur, CapMrktCurUSD, CapMrktEstUSD, FeeTotNtv, HashRate, IssTotNtv, IssTotUSD, PriceBTC, PriceUSD, ROI1yr, ROI30d, ReferenceRate, ReferenceRateBTC, ReferenceRateETH, ReferenceRateEUR, ReferenceRateUSD, SplyCur, SplyExpFut10yr, TxCnt, TxTfrCnt, volume_reported_spot_usd_1d, date",data/external/marketcap_coinmetrics\litecoin_marketcap.csv
ripple,xrp,HAS_MARKET_CAP_CURRENT,306,CapMrktCurUSD,True,False,False,current,coinmetrics_CapMrktCurUSD,306,306,306,"time, AdrActCnt, AdrBalCnt, AssetCompletionTime, AssetEODCompletionTime, BlkCnt, CapMVRVCur, CapMrktCurUSD, CapMrktEstUSD, FeeTotNtv, PriceBTC, PriceUSD, ROI1yr, ROI30d, ReferenceRate, ReferenceRateBTC, ReferenceRateETH, ReferenceRateEUR, ReferenceRateUSD, SplyCur, SplyExpFut10yr, TxCnt, TxTfrCnt, volume_reported_spot_usd_1d, date",data/external/marketcap_coinmetrics\ripple_marketcap.csv
solana,sol,HAS_MARKET_CAP_ESTIMATED,306,CapMrktEstUSD,False,True,False,estimated,coinmetrics_CapMrktEstUSD,0,306,0,"time, CapMrktEstUSD, ReferenceRate, ReferenceRateBTC, ReferenceRateETH, ReferenceRateEUR, ReferenceRateUSD, volume_reported_spot_usd_1d, date",data/external/marketcap_coinmetrics\solana_marketcap.csv
tether,usdt,HAS_MARKET_CAP_CURRENT,306,CapMrktCurUSD,True,False,False,current,coinmetrics_CapMrktCurUSD,306,306,306,"time, AdrActCnt, AdrBalCnt, AssetCompletionTime, AssetEODCompletionTime, CapMVRVCur, CapMrktCurUSD, CapMrktEstUSD, IssTotNtv, IssTotUSD, PriceBTC, PriceUSD, ROI1yr, ROI30d, ReferenceRate, ReferenceRateBTC, ReferenceRateETH, ReferenceRateEUR, ReferenceRateUSD, SplyCur, TxCnt, TxTfrCnt, volume_reported_spot_usd_1d, date",data/external/marketcap_coinmetrics\tether_marketcap.csv
tron,trx,HAS_MARKET_CAP_ESTIMATED,306,CapMrktEstUSD,False,True,False,estimated,coinmetrics_CapMrktEstUSD,0,306,0,"time, AdrActCnt, AssetCompletionTime, AssetEODCompletionTime, BlkCnt, CapMrktEstUSD, PriceBTC, PriceUSD, ROI1yr, ROI30d, ReferenceRate, ReferenceRateBTC, ReferenceRateETH, ReferenceRateEUR, ReferenceRateUSD, TxCnt, TxTfrCnt, volume_reported_spot_usd_1d, date",data/external/marketcap_coinmetrics\tron_marketcap.csv
