date,coin_id,coinmetrics_symbol,market_cap_current_usd,market_cap_estimated_usd,circulating_supply,market_cap_type,market_cap_source,selected_column
2024-03-01,solana,sol,,57740964019.336075,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-02,solana,sol,,57443939918.65488,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-03,solana,sol,,57720106450.56524,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-04,solana,sol,,58799067808.8463,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-05,solana,sol,,55634062946.526,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-06,solana,sol,,57970276608.39342,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-07,solana,sol,,63991494446.840576,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-08,solana,sol,,64362660401.56434,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-09,solana,sol,,64139423747.73337,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-10,solana,sol,,63803107788.2754,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-11,solana,sol,,65957796193.10602,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-12,solana,sol,,66695734830.31005,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-13,solana,sol,,72615944490.6689,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-14,solana,sol,,77995011036.22444,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-15,solana,sol,,81491103713.28682,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-16,solana,sol,,80340663604.11348,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-17,solana,sol,,89755210666.21622,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-18,solana,sol,,87377320637.7707,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-19,solana,sol,,75246449037.80698,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-20,solana,sol,,85038435902.39618,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-21,solana,sol,,79571168237.02382,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-22,solana,sol,,76826397076.6654,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-23,solana,sol,,77117048828.33275,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-24,solana,sol,,81891628971.59683,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-25,solana,sol,,84243567867.39636,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-26,solana,sol,,84935885338.65038,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-27,solana,sol,,82469515311.1075,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
