date,coin_id,coinmetrics_symbol,market_cap_current_usd,market_cap_estimated_usd,circulating_supply,market_cap_type,market_cap_source,selected_column
2024-03-01,tron,trx,,12457407745.152216,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-02,tron,trx,,12423082526.064465,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-03,tron,trx,,12369419004.116173,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-04,tron,trx,,12349880354.271381,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-05,tron,trx,,11963638368.461824,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-06,tron,trx,,12116588267.461432,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-07,tron,trx,,12080133599.165768,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-08,tron,trx,,12041286853.59389,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-09,tron,trx,,11965225308.327932,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-10,tron,trx,,11766613900.255404,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-11,tron,trx,,11755439714.139698,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-12,tron,trx,,11548466832.302027,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-13,tron,trx,,11600835239.810986,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-14,tron,trx,,11334100677.442871,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-15,tron,trx,,11103086380.403572,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-16,tron,trx,,10989458745.504667,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-17,tron,trx,,11080735753.490295,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-18,tron,trx,,10901078532.82019,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-19,tron,trx,,9829730904.551363,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-20,tron,trx,,10621601192.529968,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-21,tron,trx,,10626991723.436628,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-22,tron,trx,,10271352760.770412,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-23,tron,trx,,10425139623.059849,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-24,tron,trx,,10551756213.006021,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-25,tron,trx,,10580094971.374775,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-26,tron,trx,,10605491530.073072,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-27,tron,trx,,10477052541.969904,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-28,tron,trx,,10567170047.121458,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-29,tron,trx,,10532941106.307804,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-30,tron,trx,,10750716880.90006,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-03-31,tron,trx,,10783419405.67078,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-01,tron,trx,,10581019301.790028,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-02,tron,trx,,10239518417.111158,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-03,tron,trx,,10286653036.18123,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-04,tron,trx,,10450806814.41648,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-05,tron,trx,,10348462683.80174,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-06,tron,trx,,10496990766.30202,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-07,tron,trx,,10563710333.540148,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-08,tron,trx,,10786107798.118153,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-09,tron,trx,,10616346073.856272,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-10,tron,trx,,10447125428.004404,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-11,tron,trx,,10548672932.624275,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-12,tron,trx,,10057730528.426624,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-13,tron,trx,,9670286475.89144,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-14,tron,trx,,9869939482.320694,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-15,tron,trx,,9770889110.603102,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
2024-04-16,tron,trx,,9809407710.545021,,estimated,coinmetrics_CapMrktEstUSD,CapMrktEstUSD
