date,coin_id,coinmetrics_symbol,market_cap_current_usd,market_cap_estimated_usd,circulating_supply,market_cap_type,market_cap_source,selected_column
2024-03-01,usd-coin,usdc,28800489481.7837,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-02,usd-coin,usdc,28786085043.98584,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-03,usd-coin,usdc,28765976602.6438,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-04,usd-coin,usdc,28609894560.739155,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-05,usd-coin,usdc,28499318069.87653,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-06,usd-coin,usdc,28838671275.326,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-07,usd-coin,usdc,28937772376.90819,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-08,usd-coin,usdc,29487645723.192085,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-09,usd-coin,usdc,29528467546.825573,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-10,usd-coin,usdc,29908241653.951286,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-11,usd-coin,usdc,30221332462.9122,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-12,usd-coin,usdc,30147401298.980663,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-13,usd-coin,usdc,30437646052.620056,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-14,usd-coin,usdc,30296513532.62064,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-15,usd-coin,usdc,30660562728.768036,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-16,usd-coin,usdc,30744475480.21031,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-17,usd-coin,usdc,30679916366.44201,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-18,usd-coin,usdc,31004870619.96354,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-19,usd-coin,usdc,30903626442.60131,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-20,usd-coin,usdc,31032301985.25504,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-21,usd-coin,usdc,31528778369.965527,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-22,usd-coin,usdc,31746634298.00784,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-23,usd-coin,usdc,31759640059.954617,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-24,usd-coin,usdc,31754227688.75739,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-25,usd-coin,usdc,31975669195.089203,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-26,usd-coin,usdc,32019349420.60578,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-27,usd-coin,usdc,31823479295.110783,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-28,usd-coin,usdc,32176406302.01352,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-29,usd-coin,usdc,32214871241.017258,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-30,usd-coin,usdc,32212107559.23896,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-31,usd-coin,usdc,32212520926.449535,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-01,usd-coin,usdc,32280560668.765217,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-02,usd-coin,usdc,32691847917.759647,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-03,usd-coin,usdc,32687025241.626884,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-04,usd-coin,usdc,32766310186.596527,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-05,usd-coin,usdc,32656494637.78832,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-06,usd-coin,usdc,32690161914.35984,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-07,usd-coin,usdc,32693899918.520596,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-04-08,usd-coin,usdc,32466456636.91472,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
