date,coin_id,coinmetrics_symbol,market_cap_current_usd,market_cap_estimated_usd,circulating_supply,market_cap_type,market_cap_source,selected_column
2024-03-01,zcash,zec,438246123.2110489,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-02,zcash,zec,485287178.8682442,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-03,zcash,zec,468387248.92399913,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-04,zcash,zec,486085775.0601586,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-05,zcash,zec,449023901.1741745,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-06,zcash,zec,487208292.1911877,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-07,zcash,zec,506062206.2239019,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-08,zcash,zec,512933873.57602113,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-09,zcash,zec,506979039.54260135,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-10,zcash,zec,497904679.96941936,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-11,zcash,zec,518354647.7603306,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-12,zcash,zec,503608716.0046746,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-13,zcash,zec,517219873.28052366,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-14,zcash,zec,507169702.6114656,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-15,zcash,zec,467268836.1158533,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-16,zcash,zec,429621955.1119501,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-17,zcash,zec,433581996.1753996,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-18,zcash,zec,411003995.617435,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-19,zcash,zec,369943992.4095804,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-20,zcash,zec,421117255.7374643,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-21,zcash,zec,436073945.74402225,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-22,zcash,zec,425223700.88380134,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-23,zcash,zec,429175835.1657898,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-24,zcash,zec,442951812.1429594,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-25,zcash,zec,451273685.3881363,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-26,zcash,zec,471563080.32721984,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-27,zcash,zec,459916844.99869055,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
2024-03-28,zcash,zec,458320727.63917744,,,current,coinmetrics_CapMrktCurUSD,CapMrktCurUSD
