coin,file_path,status,rows,min_date,max_date,expected_daily_rows,actual_unique_dates,missing_columns,extra_columns,missing_dates_count,duplicate_dates_count,invalid_dates_count,null_columns,ohlc_invalid_rows,missing_dates_report
binance_coin,data/external/full_coin\binance_coin.csv,FAIL_INVALID_DATES,2980,2017-09-11,2026-05-01,2980,2980,,,0,0,1,,0,data/quality_reports/full_coin\binance_coin_missing_dates.csv
bitcoin,data/external/full_coin\bitcoin.csv,FAIL_INVALID_DATES,4129,,2026-05-01,4129,4129,,,0,0,1,,0,data/quality_reports/full_coin\bitcoin_missing_dates.csv
cardano,data/external/full_coin\cardano.csv,FAIL_INVALID_DATES,2980,2017-09-11,2026-05-01,2980,2980,,,0,0,1,,0,data/quality_reports/full_coin\cardano_missing_dates.csv
dogecoin,data/external/full_coin\dogecoin.csv,FAIL_INVALID_DATES,2980,2017-09-11,2026-05-01,2980,2980,,,0,0,1,,0,data/quality_reports/full_coin\dogecoin_missing_dates.csv
ethereum,data/external/full_coin\ethereum.csv,FAIL_INVALID_DATES,2980,2017-09-11,2026-05-01,2980,2980,,,0,0,1,,0,data/quality_reports/full_coin\ethereum_missing_dates.csv
hyperliquid,data/external/full_coin\hyperliquid.csv,FAIL_INVALID_DATES,397,,,397,397,,,0,0,1,market_cap,0,data/quality_reports/full_coin\hyperliquid_missing_dates.csv
ripple,data/external/full_coin\ripple.csv,FAIL_INVALID_DATES,751,2023-03-01,,1093,751,,,342,0,1,,0,data/quality_reports/full_coin\ripple_missing_dates.csv
solana,data/external/full_coin\solana.csv,FAIL_INVALID_DATES,2097,2020-10-04,2026-05-01,2097,2097,,,0,0,1,,0,data/quality_reports/full_coin\solana_missing_dates.csv
tether,data/external/full_coin\tether.csv,FAIL_INVALID_DATES,2980,2017-09-11,2026-05-01,2980,2980,,,0,0,1,,0,data/quality_reports/full_coin\tether_missing_dates.csv
tron,data/external/full_coin\tron.csv,FAIL_INVALID_DATES,2980,2017-09-11,2026-05-01,2980,2980,,,0,0,1,,0,data/quality_reports/full_coin\tron_missing_dates.csv
usd_coin,data/external/full_coin\usd_coin.csv,FAIL_INVALID_DATES,2647,2018-08-10,2026-05-01,2647,2647,,,0,0,1,,0,data/quality_reports/full_coin\usd_coin_missing_dates.csv
whitebit,data/external/full_coin\whitebit.csv,FAIL_INVALID_DATES,1223,,,1223,1223,,,0,0,1,market_cap,0,data/quality_reports/full_coin\whitebit_missing_dates.csv
